----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
29  34  car  945, 134, 959, 160
29  35  car  849, 440, 964, 539
30  1  person  822, 133, 837, 161
30  2  person  5, 167, 16, 200
30  3  person  116, 171, 129, 209
30  5  car  643, 189, 711, 231
30  6  car  591, 130, 636, 157
30  7  car  479, 106, 510, 128
30  8  car  250, 137, 296, 167
30  9  car  425, 186, 475, 229
30  10  car  864, 160, 916, 193
30  11  car  220, 125, 254, 152
30  12  car  566, 101, 601, 124
30  13  car  447, 156, 491, 191
30  14  car  530, 106, 559, 126
30  16  car  378, 75, 403, 94
30  17  car  392, 91, 416, 111
30  19  bus  17, 366, 274, 539
30  20  truck  386, 237, 475, 386
30  21  car  901, 128, 942, 155
30  23  car  853, 224, 918, 276
30  29  car  923, 203, 952, 247
30  34  car  945, 134, 959, 160
30  35  car  840, 432, 964, 539
30  37  bus  916, 244, 950, 376
31  1  person  821, 132, 836, 160
31  2  person  5, 167, 16, 200
31  3  person  116, 170, 129, 209
31  5  car  640, 187, 707, 228
31  6  car  590, 129, 635, 156
31  7  car  479, 105, 510, 127
31  8  car  248, 137, 294, 168
31  9  car  424, 187, 476, 230
31  10  car  864, 160, 915, 192
31  11  car  220, 125, 254, 152
31  12  car  565, 101, 600, 124
31  13  car  447, 157, 492, 192
31  14  car  529, 105, 558, 125
31  16  car  378, 75, 403, 94
31  17  car  392, 92, 415, 111
31  19  bus  17, 370, 271, 539
31  20  truck  386, 238, 475, 389
31  21  car  899, 128, 941, 155
31  23  car  848, 222, 914, 273
31  29  car  922, 202, 951, 243
31  34  car  945, 134, 959, 160
31  35  car  834, 423, 962, 535
31  37  bus  912, 240, 948, 375
32  1  person  820, 132, 836, 160
32  2  person  5, 167, 17, 200
32  3  person  116, 168, 129, 209
32  5  car  637, 185, 704, 226
32  6  car  589, 128, 634, 155
32  7  car  479, 105, 510, 127
32  8  car  247, 138, 293, 169
32  9  car  425, 188, 476, 231
32  10  car  864, 160, 915, 192
32  11  car  219, 125, 253, 152
32  12  car  565, 101, 599, 123
32  13  car  448, 158, 493, 193
32  14  car  528, 104, 558, 125
32  16  car  377, 76, 402, 95
32  17  car  391, 92, 415, 112
32  19  bus  16, 373, 269, 539
32  20  truck  385, 239, 475, 392
32  21  car  899, 127, 941, 155
32  23  car  844, 219, 910, 271
32  29  car  921, 201, 950, 240
32  34  car  946, 134, 959, 160
32  35  car  831, 415, 959, 527
32  37  bus  908, 235, 946, 375
33  1  person  820, 132, 835, 159
33  2  person  5, 167, 17, 200
33  3  person  115, 167, 129, 209
33  5  car  635, 183, 700, 223
33  6  car  587, 127, 632, 154
33  7  car  479, 104, 510, 126
33  8  car  244, 139, 291, 170
33  9  car  426, 189, 477, 232
33  10  car  863, 159, 914, 191
33  11  car  219, 125, 253, 153
33  12  car  564, 100, 598, 123
33  13  car  449, 158, 494, 195
33  14  car  528, 103, 557, 124
33  16  car  377, 76, 401, 95
33  17  car  391, 93, 414, 113
33  19  bus  16, 377, 266, 539
33  20  truck  384, 240, 474, 394
33  21  car  899, 127, 941, 155
33  23  car  841, 218, 906, 269
33  29  car  920, 199, 951, 239
33  34  car  945, 135, 959, 160
33  35  car  828, 408, 955, 517
33  37  bus  904, 232, 945, 374
34  1  person  819, 131, 834, 159
34  2  person  5, 167, 17, 200
34  3  person  116, 169, 129, 209
34  5  car  633, 181, 697, 221
34  6  car  586, 126, 631, 153
34  7  car  479, 104, 509, 125
34  8  car  242, 140, 289, 172
34  9  car  426, 189, 479, 233
34  10  car  863, 159, 914, 191
34  11  car  220, 125, 254, 153
34  12  car  564, 99, 598, 122
34  13  car  450, 159, 495, 195
34  14  car  528, 102, 556, 123
34  16  car  376, 76, 401, 95
34  17  car  391, 94, 414, 113
34  19  bus  17, 382, 263, 539
34  20  truck  383, 241, 474, 397
34  23  car  838, 217, 902, 266
34  29  car  918, 199, 950, 237
34  35  car  825, 400, 951, 506
34  37  bus  900, 230, 944, 373
35  1  person  818, 131, 833, 159
35  2  person  6, 167, 18, 200
35  3  person  116, 170, 128, 209
35  5  car  631, 179, 694, 218
35  6  car  585, 125, 630, 152
35  7  car  479, 103, 509, 125
35  8  car  239, 141, 287, 173
35  9  car  427, 190, 479, 234
35  10  car  862, 158, 914, 191
35  11  car  219, 126, 253, 153
35  12  car  563, 98, 597, 121
35  13  car  451, 160, 496, 196
35  14  car  527, 102, 555, 122
35  16  car  375, 76, 400, 96
35  17  car  390, 94, 414, 114
35  19  bus  17, 386, 260, 539
35  20  truck  382, 242, 474, 399
35  21  car  896, 128, 935, 154
35  23  car  834, 216, 898, 264
35  29  car  915, 198, 952, 241
35  35  car  821, 393, 946, 497
35  37  bus  895, 228, 943, 374
36  1  person  817, 131, 832, 159
36  2  person  7, 167, 19, 199
36  3  person  116, 170, 128, 208
36  5  car  628, 177, 692, 216
36  6  car  583, 125, 628, 151
36  7  car  479, 103, 509, 124
36  8  car  238, 142, 286, 174
36  9  car  427, 191, 480, 235
36  10  car  862, 157, 914, 190
36  11  car  219, 126, 253, 153
36  12  car  562, 97, 597, 121
36  13  car  452, 161, 497, 197
36  14  car  527, 101, 555, 121
36  16  car  374, 77, 399, 96
36  17  car  389, 95, 413, 114
36  19  bus  17, 390, 257, 539
36  20  truck  381, 244, 473, 402
36  21  car  895, 128, 934, 154
36  23  car  831, 214, 894, 261
36  29  car  913, 197, 953, 242
36  35  car  816, 386, 939, 487
36  37  bus  890, 225, 943, 379
37  1  person  816, 130, 831, 158
37  2  person  8, 167, 20, 200
37  3  person  117, 170, 128, 208
37  5  car  626, 175, 689, 214
37  6  car  582, 124, 625, 150
37  7  car  479, 102, 509, 123
37  8  car  236, 143, 283, 175
37  9  car  428, 192, 481, 236
37  10  car  861, 157, 913, 190
37  11  car  218, 127, 253, 154
37  12  car  562, 96, 596, 120
37  13  car  453, 162, 497, 198
37  14  car  526, 101, 554, 121
37  16  car  374, 77, 399, 96
37  17  car  389, 95, 413, 114
37  19  bus  20, 397, 252, 539
37  20  truck  380, 245, 473, 405
37  21  car  896, 128, 932, 153
37  23  car  825, 209, 892, 259
37  29  car  915, 196, 949, 231
37  35  car  808, 378, 931, 477
37  37  bus  885, 222, 942, 382
38  1  person  815, 130, 830, 158
38  2  person  8, 167, 20, 200
38  3  person  117, 171, 128, 208
38  5  car  624, 173, 686, 212
38  6  car  581, 124, 623, 149
38  7  car  479, 102, 508, 122
38  8  car  234, 144, 281, 176
38  9  car  428, 193, 482, 238
38  10  car  860, 157, 913, 189
38  11  car  218, 127, 252, 154
38  12  car  561, 96, 595, 119
38  13  car  453, 163, 499, 199
38  14  car  526, 100, 553, 120
38  16  car  373, 77, 398, 97
38  17  car  389, 95, 412, 115
38  19  bus  19, 402, 249, 539
38  20  car  377, 247, 470, 407
38  21  car  896, 128, 932, 153
38  23  car  822, 206, 889, 257
38  29  car  915, 195, 947, 225
38  35  car  802, 372, 923, 468
38  37  bus  880, 218, 941, 380
39  1  person  815, 129, 830, 157
39  2  person  8, 168, 20, 200
39  3  person  117, 170, 128, 208
39  5  car  623, 172, 683, 209
39  6  car  580, 123, 622, 148
39  7  car  479, 101, 507, 122
39  8  car  232, 145, 280, 177
39  9  car  429, 194, 482, 239
