----------追踪目标日志----------
以下为各列数值含义：
帧数  目标ID  目标类别  x1, y1, x2, y2 (方框左上角以及右下角)
565  28  car  810, 873, 1130, 1079
565  29  car  985, 958, 1703, 1079
566  1  person  1191, 396, 1218, 445
566  3  car  888, 647, 1024, 769
566  4  car  1298, 674, 1537, 813
566  5  car  878, 412, 928, 450
566  6  car  944, 431, 1008, 480
566  7  car  977, 475, 1060, 554
566  8  car  864, 383, 902, 412
566  10  car  924, 378, 965, 408
566  11  car  653, 375, 698, 406
566  12  car  859, 482, 933, 537
566  13  car  787, 386, 828, 420
566  14  bus  997, 336, 1059, 400
566  15  bus  547, 401, 634, 500
566  18  car  587, 596, 713, 711
566  23  bus  717, 365, 774, 436
566  28  car  803, 863, 1129, 1079
566  29  car  966, 947, 1711, 1079
567  1  person  1192, 396, 1218, 444
567  3  car  889, 645, 1018, 760
567  4  car  1294, 666, 1524, 803
567  5  car  878, 411, 928, 449
567  6  car  943, 429, 1008, 479
567  7  car  977, 474, 1059, 553
567  8  car  863, 382, 902, 412
567  10  car  924, 377, 965, 407
567  11  car  653, 376, 698, 407
567  12  car  860, 481, 932, 536
567  13  car  787, 387, 829, 421
567  14  bus  996, 336, 1058, 399
567  15  bus  545, 402, 632, 502
567  18  car  582, 602, 709, 719
567  19  car  805, 359, 847, 387
567  23  bus  716, 366, 774, 437
567  27  car  763, 360, 800, 389
567  28  car  801, 854, 1129, 1079
567  29  car  953, 937, 1715, 1079
568  1  person  1192, 396, 1218, 444
568  3  car  890, 643, 1015, 755
568  4  car  1292, 660, 1510, 792
568  5  car  878, 411, 928, 448
568  6  car  943, 428, 1008, 478
568  7  car  976, 472, 1059, 552
568  8  car  864, 382, 902, 411
568  10  car  924, 377, 965, 407
568  11  car  653, 377, 698, 407
568  12  car  860, 480, 932, 534
568  13  car  787, 387, 829, 422
568  14  bus  996, 336, 1058, 399
568  15  bus  545, 402, 632, 503
568  18  car  575, 609, 706, 730
568  23  bus  713, 366, 771, 438
568  27  car  763, 360, 800, 389
568  28  car  802, 845, 1130, 1079
568  29  car  944, 926, 1717, 1079
569  1  person  1192, 395, 1218, 444
569  3  car  891, 639, 1012, 747
569  4  car  1287, 654, 1498, 783
569  5  car  878, 409, 928, 447
569  6  car  942, 428, 1007, 477
569  7  car  976, 471, 1059, 550
569  8  car  864, 381, 902, 410
569  10  car  924, 377, 965, 406
569  11  car  652, 377, 698, 408
569  12  car  859, 475, 933, 532
569  13  car  787, 388, 830, 423
569  14  bus  996, 335, 1057, 398
569  15  bus  543, 403, 631, 505
569  18  car  573, 615, 704, 737
569  23  bus  712, 367, 770, 438
569  27  car  762, 360, 800, 389
569  28  car  800, 837, 1129, 1079
569  29  car  939, 916, 1719, 1079
570  1  person  1192, 395, 1219, 444
570  3  car  891, 636, 1013, 744
570  4  car  1284, 647, 1486, 773
570  5  car  878, 409, 927, 446
570  6  car  943, 428, 1007, 476
570  7  car  974, 469, 1057, 548
570  8  car  864, 380, 902, 409
570  10  car  924, 377, 964, 406
570  11  car  652, 377, 698, 408
570  12  car  865, 485, 927, 530
570  13  car  788, 389, 830, 424
570  14  bus  996, 335, 1056, 397
570  15  bus  541, 404, 630, 507
570  18  car  569, 623, 704, 748
570  23  bus  711, 367, 769, 439
570  28  car  799, 828, 1126, 1079
570  29  car  934, 906, 1716, 1079
571  1  person  1192, 395, 1219, 444
571  3  car  891, 634, 1013, 741
571  4  car  1282, 641, 1476, 764
571  5  car  879, 409, 927, 446
571  6  car  943, 428, 1007, 475
571  7  car  973, 468, 1055, 547
571  8  car  864, 380, 902, 409
571  10  car  924, 377, 964, 405
571  11  car  651, 378, 697, 409
571  13  car  787, 390, 831, 426
571  14  bus  996, 335, 1056, 397
571  15  bus  539, 404, 628, 508
571  18  car  563, 630, 702, 760
571  23  bus  710, 366, 769, 440
571  25  car  858, 491, 935, 529
571  28  car  803, 820, 1126, 1078
571  29  car  932, 897, 1707, 1079
572  1  person  1192, 395, 1219, 444
572  3  car  891, 631, 1013, 739
572  4  car  1279, 635, 1467, 756
572  5  car  879, 408, 927, 445
572  6  car  944, 427, 1007, 474
572  7  car  972, 467, 1053, 545
572  8  car  864, 379, 902, 408
572  10  car  925, 377, 964, 405
572  11  car  650, 378, 697, 410
572  12  car  861, 474, 932, 528
572  13  car  788, 391, 831, 427
572  14  bus  996, 335, 1056, 396
572  15  bus  538, 406, 628, 510
572  18  car  560, 638, 701, 768
572  23  bus  709, 366, 769, 441
572  28  car  807, 812, 1112, 1066
572  29  car  929, 887, 1695, 1079
573  1  person  1192, 396, 1219, 444
573  3  car  889, 628, 1013, 736
573  4  car  1275, 630, 1459, 751
573  5  car  879, 408, 927, 444
573  6  car  945, 426, 1008, 474
573  7  car  972, 466, 1052, 544
573  8  car  864, 378, 903, 408
573  10  car  925, 377, 964, 405
573  11  car  649, 379, 696, 411
573  13  car  788, 392, 832, 428
573  14  bus  997, 335, 1056, 396
573  15  bus  537, 407, 627, 512
573  18  car  552, 646, 696, 780
573  23  bus  709, 367, 768, 442
573  25  car  859, 489, 935, 527
573  28  car  815, 806, 1100, 1051
573  29  car  930, 879, 1682, 1079
573  30  car  865, 809, 1027, 908
574  1  person  1192, 396, 1219, 444
574  3  car  890, 625, 1013, 732
574  4  car  1271, 624, 1449, 742
574  5  car  880, 407, 928, 444
574  6  car  945, 425, 1009, 472
574  7  car  973, 465, 1053, 543
574  8  car  865, 378, 903, 408
574  10  car  925, 377, 965, 405
574  11  car  648, 380, 695, 412
574  13  car  789, 393, 833, 429
574  14  bus  997, 335, 1056, 395
574  15  bus  536, 408, 626, 513
574  18  car  546, 653, 694, 792
574  23  bus  708, 368, 768, 443
574  25  car  861, 487, 935, 526
574  28  car  821, 799, 1087, 1036
574  29  car  935, 871, 1666, 1079
574  30  car  869, 801, 1021, 893
575  1  person  1193, 396, 1218, 443
575  3  car  890, 621, 1012, 728
575  4  car  1269, 618, 1440, 732
575  5  car  880, 406, 928, 442
575  6  car  944, 422, 1008, 470
575  7  car  975, 469, 1048, 540
575  8  car  866, 377, 903, 406
575  10  car  925, 375, 966, 403
575  11  car  648, 379, 695, 411
575  13  car  789, 393, 834, 429
575  14  bus  998, 334, 1056, 394
575  15  bus  534, 409, 625, 514
575  18  car  538, 660, 694, 807
575  23  bus  708, 367, 767, 443
575  25  car  863, 487, 933, 523
575  28  car  850, 832, 1063, 1024
575  29  car  937, 861, 1652, 1078
575  30  car  868, 793, 1021, 886
576  1  person  1193, 395, 1219, 442
576  3  car  890, 618, 1011, 723
576  4  car  1266, 612, 1431, 724
576  5  car  880, 404, 928, 440
576  6  car  945, 421, 1007, 468
576  7  car  973, 464, 1048, 537
576  8  car  866, 376, 904, 404
576  10  car  925, 373, 966, 402
576  11  car  647, 379, 695, 412
576  13  car  789, 392, 834, 430
576  14  bus  997, 333, 1056, 392
576  15  bus  532, 409, 623, 514
576  18  car  533, 669, 693, 821
576  20  bus  576, 319, 635, 369
576  23  bus  707, 367, 767, 443
576  25  car  862, 484, 933, 521
576  28  car  865, 842, 1049, 1011
576  29  car  938, 850, 1642, 1078
576  30  car  866, 785, 1020, 879
576  31  car  860, 463, 929, 494
577  1  person  1193, 395, 1219, 442
577  3  car  890, 615, 1011, 720
577  4  car  1262, 607, 1423, 717
577  5  car  880, 403, 928, 439
577  6  car  945, 420, 1007, 467
577  7  car  972, 462, 1047, 535
577  8  car  867, 375, 904, 403
577  10  car  925, 372, 966, 401
577  11  car  647, 379, 695, 412
577  13  car  789, 393, 835, 430
577  14  bus  997, 332, 1056, 392
577  15  bus  530, 409, 621, 516
577  18  car  527, 679, 692, 836
577  20  bus  576, 319, 635, 369
577  23  bus  706, 368, 767, 445
577  25  car  864, 483, 932, 519
577  28  car  868, 839, 1046, 1003
577  30  car  866, 778, 1019, 871
578  1  person  1193, 395, 1219, 442
578  3  car  890, 613, 1012, 718
578  4  car  1258, 603, 1415, 711
578  5  car  881, 403, 928, 439
578  6  car  945, 421, 1006, 466
578  7  car  972, 461, 1047, 534
578  8  car  867, 376, 904, 404
578  10  car  926, 373, 967, 401
578  11  car  646, 381, 694, 414
578  13  car  790, 395, 835, 432
578  14  bus  997, 332, 1056, 392
578  15  bus  528, 410, 620, 518
578  18  car  519, 689, 684, 847
578  23  bus  707, 370, 767, 447
578  25  car  865, 483, 931, 518
578  28  car  872, 834, 1041, 993
578  30  car  865, 773, 1018, 865
579  1  person  1194, 395, 1220, 442
579  3  car  891, 610, 1009, 713
579  4  car  1254, 597, 1410, 706
579  5  car  881, 402, 928, 438
579  6  car  945, 420, 1006, 466
579  7  car  972, 460, 1047, 533
579  8  car  868, 375, 905, 403
579  10  car  926, 372, 967, 401
579  11  car  646, 382, 694, 415
579  13  car  791, 398, 835, 434
579  14  bus  997, 332, 1056, 392
579  15  bus  527, 412, 619, 520
579  18  car  510, 700, 678, 861
579  20  bus  576, 319, 637, 371
579  23  bus  707, 371, 767, 449
579  25  car  866, 482, 931, 517
579  28  car  874, 827, 1038, 981
579  30  car  865, 766, 1016, 858
579  32  car  1159, 830, 1383, 1024
580  1  person  1194, 395, 1220, 442
580  3  car  890, 608, 1008, 710
580  4  car  1251, 593, 1403, 700
580  5  car  881, 402, 928, 437
580  6  car  945, 419, 1006, 465
580  7  car  973, 459, 1047, 532
580  8  car  868, 374, 905, 402
580  10  car  926, 372, 967, 401
580  11  car  646, 383, 694, 416
580  13  car  791, 399, 835, 434
580  14  bus  996, 331, 1055, 391
580  15  bus  526, 413, 617, 519
580  18  car  502, 710, 675, 877
580  23  bus  706, 372, 767, 450
580  25  car  866, 480, 933, 516
580  28  car  876, 822, 1036, 973
580  30  car  864, 760, 1017, 853
580  32  car  1156, 822, 1376, 1013
581  1  person  1194, 395, 1220, 442
581  3  car  890, 605, 1009, 708
581  4  car  1248, 588, 1397, 693
581  5  car  881, 401, 928, 437
581  6  car  945, 419, 1005, 464
581  7  car  973, 458, 1046, 529
581  8  car  868, 374, 905, 402
581  10  car  926, 372, 967, 400
581  11  car  645, 383, 694, 417
581  12  car  870, 470, 930, 514
581  13  car  791, 400, 836, 436
581  14  bus  997, 331, 1055, 390
